fold,phase,lag,source,target,horizon,contrast_fraction,steps_factor,effect_mean,effect_sd,gap_mean,valid_fraction
0,baseline,1,ADE,AVD,4,1.0,1,0.01294375707705813,0.16814686938433632,0.5481003721555074,1.0
0,baseline,1,ADE,AVD,4,1.0,2,-0.0194883222381274,0.1410591071472893,0.5426829755306244,1.0
0,baseline,1,ADE,AVD,8,1.0,1,0.0241196478406588,0.1640358745519394,0.5481003721555074,1.0
0,baseline,1,ADE,AVD,8,1.0,2,-0.0010337761292855037,0.12310234221367458,0.5426829755306244,1.0
0,baseline,1,ADE,AVD,16,1.0,1,0.06803045421838756,0.13620009716701617,0.5481003721555074,1.0
0,baseline,1,ADE,AVD,16,1.0,2,0.0489262007176876,0.1070180717456216,0.5426829755306244,1.0
0,baseline,1,ADE,AVD,32,1.0,1,0.11713498023649054,0.11294815290945134,0.5481003721555074,1.0
0,baseline,1,ADE,AVD,32,1.0,2,0.10709491868813827,0.11027063671898978,0.5426829755306244,1.0
0,baseline,1,ADE,AVE,1,1.0,1,0.07494694708536066,0.07830037332515616,0.5481003721555074,1.0
0,baseline,1,ADE,AVE,1,1.0,2,0.02020683139562603,0.08098304697654761,0.5426829755306244,1.0
0,baseline,1,ADE,AVE,2,1.0,1,0.0740166044173141,0.07407379844657748,0.5481003721555074,1.0
0,baseline,1,ADE,AVE,2,1.0,2,0.019049666821956635,0.08474973491403298,0.5426829755306244,1.0
0,baseline,1,ADE,AVE,4,1.0,1,0.07530899982278544,0.06891568713725943,0.5481003721555074,1.0
0,baseline,1,ADE,AVE,4,1.0,2,0.022701319307088835,0.09365690362264123,0.5426829755306244,1.0
0,baseline,1,ADE,AVE,8,1.0,1,0.0865238091597954,0.055358262644982774,0.5481003721555074,1.0
0,baseline,1,ADE,AVE,8,1.0,2,0.04118597507476807,0.11233192272517861,0.5426829755306244,1.0
0,baseline,1,ADE,AVE,16,1.0,1,0.1121347074707349,0.028365819861692728,0.5481003721555074,1.0
0,baseline,1,ADE,AVE,16,1.0,2,0.09177900850772858,0.14968570492380295,0.5426829755306244,1.0
0,baseline,1,ADE,AVE,32,1.0,1,0.13695781802137688,0.10256420813552701,0.5481003721555074,1.0
0,baseline,1,ADE,AVE,32,1.0,2,0.16028499851624173,0.18851810367780636,0.5426829755306244,1.0
0,baseline,1,ADE,AVH,1,1.0,1,-0.000244421263535836,0.20262966181799175,0.5481003721555074,1.0
0,baseline,1,ADE,AVH,1,1.0,2,0.024704622725645702,0.12240232217854455,0.5426829755306244,1.0
0,baseline,1,ADE,AVH,2,1.0,1,-0.00917738986512027,0.19317307074398227,0.5481003721555074,1.0
0,baseline,1,ADE,AVH,2,1.0,2,0.01356155425310133,0.11159895013576997,0.5426829755306244,1.0
0,baseline,1,ADE,AVH,4,1.0,1,-0.021868527556459127,0.17477456630008156,0.5481003721555074,1.0
0,baseline,1,ADE,AVH,4,1.0,2,-0.001511593659718836,0.09031403659423456,0.5426829755306244,1.0
0,baseline,1,ADE,AVH,8,1.0,1,-0.034454452960441535,0.14661985591539928,0.5481003721555074,1.0
0,baseline,1,ADE,AVH,8,1.0,2,-0.013822557094196464,0.056705889431158486,0.5426829755306244,1.0
0,baseline,1,ADE,AVH,16,1.0,1,-0.034543760120868704,0.12352870532339426,0.5481003721555074,1.0
0,baseline,1,ADE,AVH,16,1.0,2,-0.011012187848488467,0.038187620812734906,0.5426829755306244,1.0
0,baseline,1,ADE,AVH,32,1.0,1,0.022945637504259698,0.09557468617932043,0.5481003721555074,1.0
0,baseline,1,ADE,AVH,32,1.0,2,0.0473870212833086,0.03531457612061117,0.5426829755306244,1.0
0,baseline,1,ADE,AVJ,1,1.0,1,-0.03724569578965503,0.1701635310814087,0.5481003721555074,1.0
0,baseline,1,ADE,AVJ,1,1.0,2,0.022276010364294038,0.12046730485592151,0.5426829755306244,1.0
0,baseline,1,ADE,AVJ,2,1.0,1,-0.04316473752260206,0.1593576476639357,0.5481003721555074,1.0
0,baseline,1,ADE,AVJ,2,1.0,2,0.013920842980345063,0.10823986879883746,0.5426829755306244,1.0
0,baseline,1,ADE,AVJ,4,1.0,1,-0.049539655447006205,0.13928129951980284,0.5481003721555074,1.0
0,baseline,1,ADE,AVJ,4,1.0,2,0.0068373791873454675,0.08664929889007233,0.5426829755306244,1.0
